feedback_id,delivery_id,rating,comment,feedback_datetime
F01000000,D2026000001,5,"On time as always, thanks! Driver very polite, can!",17:46.9
F01000001,D2026000003,3,Delivery was acceptable.,00:52.3
F01000002,D2026000011,5,"Great experience, no complaints.",19:49.2
F01000003,D2026000012,5,,57:23.7
F01000004,D2026000013,4,,52:01.2
F01000005,D2026000016,5,"Driver called ahead, super helpful.",42:53.1
F01000006,D2026000020,5,"Delivered ahead of schedule, very impressed.",55:14.4
F01000007,D2026000024,5,"Smooth delivery, will use again.",00:39.9
F01000008,D2026000026,5,"Smooth delivery, will use again.",23:44.2
F01000009,D2026000030,5,"Great experience, no complaints.",05:18.9
F01000010,D2026000033,5,"Delivered ahead of schedule, very impressed.",00:53.9
F01000011,D2026000040,4,,36:05.3
F01000012,D2026000043,5,"On time as always, thanks! Smooth lah, thanks.",22:48.2
F01000013,D2026000051,5,"Great experience, no complaints. Fast fast, shiok.",53:44.1
F01000014,D2026000052,4,"Driver was okay, would recommend.",33:08.5
F01000015,D2026000062,5,"Driver called ahead, super helpful. Smooth lah, thanks.",31:07.1
F01000016,D2026000065,4,,45:27.6
F01000017,D2026000066,3,Average experience.,59:48.4
F01000018,D2026000070,4,Good service overall.,46:34.4
F01000019,D2026000072,5,"Excellent service, package arrived in perfect condition.",05:02.0
F01000020,D2026000074,5,Polite and professional driver.,44:12.1
F01000021,D2026000076,4,Good service overall.,50:10.8
F01000022,D2026000077,5,"Great experience, no complaints.",42:32.4
F01000023,D2026000082,1,Package was broken when I opened it. Promised window was completely missed. Like that how to use again?,07:15.6
F01000024,D2026000086,2,"Delivery was late, no update from the driver. Promised window was completely missed.",31:59.7
F01000025,D2026000087,5,Polite and professional driver.,39:00.7
F01000026,D2026000088,4,No problems with the delivery.,21:11.2
F01000027,D2026000098,5,"Great experience, no complaints. Driver very polite, can!",58:24.0
F01000028,D2026000100,5,,53:00.6
F01000029,D2026000101,4,"Delivery was on time, no issues.",14:23.4
F01000030,D2026000104,4,"Delivery was on time, no issues.",14:57.1
F01000031,D2026000105,5,"Driver called ahead, super helpful.",34:24.7
F01000032,D2026000106,4,"Driver was okay, would recommend.",00:57.8
F01000033,D2026000107,5,"Smooth delivery, will use again.",50:28.7
F01000034,D2026000110,5,"Delivered ahead of schedule, very impressed.",46:09.4
F01000035,D2026000111,4,"Reasonable speed, package was fine.",43:10.6
F01000036,D2026000117,4,"Driver was okay, would recommend.",23:12.0
F01000037,D2026000119,5,"Driver called ahead, super helpful.",52:13.5
F01000038,D2026000122,3,Service was just okay.,18:14.3
F01000039,D2026000125,4,"Delivery was on time, no issues.",23:43.0
F01000040,D2026000126,5,"Excellent service, package arrived in perfect condition.",12:22.6
F01000041,D2026000127,4,,08:57.8
F01000042,D2026000131,5,"Smooth delivery, will use again.",16:15.8
F01000043,D2026000139,4,No problems with the delivery.,24:15.7
F01000044,D2026000140,5,"Smooth delivery, will use again.",25:08.0
F01000045,D2026000141,3,Service was just okay.,40:26.5
F01000046,D2026000143,,,34:36.0
F01000047,D2026000144,3,,13:48.6
F01000048,D2026000146,4,"Delivery was on time, no issues.",25:49.4
F01000049,D2026000149,5,"Delivered ahead of schedule, very impressed.",37:20.3
F01000050,D2026000150,5,"Great experience, no complaints.",16:48.4
F01000051,D2026000157,4,,15:05.2
F01000052,D2026000158,4,"Delivery was on time, no issues.",31:43.2
F01000053,D2026000164,5,,48:52.3
F01000054,D2026000165,4,"Reasonable speed, package was fine.",31:01.3
F01000055,D2026000169,4,,56:54.2
F01000056,D2026000170,5,"Delivered ahead of schedule, very impressed.",08:25.8
F01000057,D2026000175,5,Driver was very friendly and on time.,36:28.9
F01000058,D2026000181,5,"Excellent service, package arrived in perfect condition.",59:04.1
F01000059,D2026000182,,"Excellent service, package arrived in perfect condition. Fast fast, shiok.",55:24.2
F01000060,D2026000184,5,"Driver called ahead, super helpful.",58:26.4
F01000061,D2026000187,,Polite and professional driver.,17:55.7
F01000062,D2026000193,5,"Smooth delivery, will use again.",56:30.3
F01000063,D2026000201,2,Not happy with how long this took.,53:33.3
F01000064,D2026000206,2,Driver was rude on arrival.,00:48.6
F01000065,D2026000209,4,,32:35.7
F01000066,D2026000212,5,"Smooth delivery, will use again.",07:55.1
F01000067,D2026000216,4,,00:48.2
F01000068,D2026000218,5,"Driver called ahead, super helpful.",38:44.8
F01000069,D2026000219,5,,02:56.7
F01000070,D2026000220,5,,02:07.9
F01000071,D2026000229,4,Good service overall.,12:31.0
F01000072,D2026000230,5,"Smooth delivery, will use again.",46:15.7
F01000073,D2026000247,3,"Nothing special, nothing terrible.",47:43.9
F01000074,D2026000250,4,Good service overall.,29:23.3
F01000075,D2026000252,5,"Great experience, no complaints.",52:00.1
F01000076,D2026000253,5,"Driver called ahead, super helpful.",19:46.5
F01000077,D2026000258,5,"Excellent service, package arrived in perfect condition.",05:33.9
F01000078,D2026000260,2,,11:02.8
F01000079,D2026000262,3,"Nothing special, nothing terrible.",02:27.7
F01000080,D2026000264,3,"Nothing special, nothing terrible.",55:47.4
F01000081,D2026000267,5,"On time as always, thanks!",20:10.9
F01000082,D2026000268,5,"Smooth delivery, will use again. Fast fast, shiok.",23:28.4
F01000083,D2026000269,5,,29:30.5
F01000084,D2026000272,4,No problems with the delivery.,48:38.3
F01000085,D2026000279,5,"Excellent service, package arrived in perfect condition.",16:01.5
F01000086,D2026000282,5,Polite and professional driver.,03:28.4
F01000087,D2026000283,4,"Delivery was on time, no issues.",56:15.7
F01000088,D2026000284,3,Service was just okay.,59:19.5
F01000089,D2026000291,4,No problems with the delivery.,36:05.5
F01000090,D2026000297,5,"Driver called ahead, super helpful.",21:37.9
F01000091,D2026000300,5,"Great experience, no complaints.",33:45.0
F01000092,D2026000301,5,"Great experience, no complaints.",47:04.8
F01000093,D2026000302,5,"On time as always, thanks!",51:45.9
F01000094,D2026000303,4,,26:23.9
F01000095,D2026000304,4,,03:40.3
F01000096,D2026000305,5,"Great experience, no complaints.",29:54.5
F01000097,D2026000306,4,"Delivery was on time, no issues.",02:24.0
F01000098,D2026000309,,"Came within the window, all good.",13:19.1
F01000099,D2026000315,4,,20:37.3
F01000100,D2026000317,5,,02:52.5
F01000101,D2026000319,,"Driver called ahead, super helpful.",29:25.3
F01000102,D2026000322,5,,10:20.8
F01000103,D2026000325,4,,02:09.4
F01000104,D2026000331,4,"Came within the window, all good.",22:00.0
F01000105,D2026000333,4,"Came within the window, all good.",05:28.9
F01000106,D2026000334,5,"Driver called ahead, super helpful.",27:58.2
F01000107,D2026000338,,"On time as always, thanks!",59:18.7
F01000108,D2026000340,4,,22:41.0
F01000109,D2026000345,4,,58:20.4
F01000110,D2026000346,,"Delivery was on time, no issues.",51:38.7
F01000111,D2026000347,5,,02:20.4
F01000112,D2026000348,4,,01:02.3
F01000113,D2026000349,5,"Great experience, no complaints. Smooth lah, thanks.",58:02.6
F01000114,D2026000350,5,"Great experience, no complaints.",16:54.5
F01000115,D2026000353,5,,09:10.0
F01000116,D2026000354,5,"Excellent service, package arrived in perfect condition.",11:12.2
F01000117,D2026000355,3,Driver could be more friendly.,38:45.8
F01000118,D2026000356,5,"Smooth delivery, will use again.",23:28.0
F01000119,D2026000358,4,,13:46.6
F01000120,D2026000359,5,"Driver called ahead, super helpful.",30:08.5
F01000121,D2026000366,3,Driver could be more friendly.,06:41.4
F01000122,D2026000367,4,"Came within the window, all good.",06:45.8
F01000123,D2026000368,4,,47:59.7
F01000124,D2026000372,5,"Great experience, no complaints. Fast fast, shiok.",39:46.1
F01000125,D2026000374,5,"Great experience, no complaints.",34:18.2
F01000126,D2026000378,5,"Great experience, no complaints.",43:56.6
F01000127,D2026000381,5,Driver was very friendly and on time.,30:45.7
F01000128,D2026000383,5,"Excellent service, package arrived in perfect condition.",35:02.1
F01000129,D2026000386,5,"Driver called ahead, super helpful.",06:24.7
F01000130,D2026000388,5,"On time as always, thanks!",24:43.0
F01000131,D2026000389,5,"Excellent service, package arrived in perfect condition.",58:35.4
F01000132,D2026000390,5,"Delivered ahead of schedule, very impressed.",00:06.9
F01000133,D2026000391,5,"Delivered ahead of schedule, very impressed.",24:58.3
F01000134,D2026000393,5,"Great experience, no complaints.",14:11.6
F01000135,D2026000395,5,"Driver called ahead, super helpful.",14:36.5
F01000136,D2026000397,3,,11:40.8
F01000137,D2026000401,5,"Excellent service, package arrived in perfect condition.",54:10.8
F01000138,D2026000407,3,Average experience.,50:07.2
F01000139,D2026000408,5,Polite and professional driver.,49:58.5
F01000140,D2026000409,4,,15:14.6
F01000141,D2026000413,5,"Great experience, no complaints.",41:22.2
F01000142,D2026000414,4,,03:17.5
