Driver ID,Total Deliveries,Deliveries with Feedback,Avg Rating,Service Consistency (Std Dev),Min Rating,Max Rating,Positive %,Negative %,Avg Distance (km),Avg Experience (months),Vehicle Type,Primary Depot,Performance Score
DRV0189,792,278,4.46,0.89,1,5,90.6,5.4,5.89,17.7,van,central,23.1
DRV0180,687,219,4.42,0.83,1,5,90.9,3.7,5.95,18.5,van,central,23.1
DRV0036,764,251,4.51,0.79,1,5,90.4,3.2,5.79,17.4,van,central,23.1
DRV0022,710,235,4.43,0.88,1,5,90.2,5.5,5.77,17.7,van,central,23
DRV0153,773,266,4.42,0.91,1,5,89.8,4.9,5.62,17.6,van,central,22.9
DRV0199,744,279,4.45,0.89,1,5,89.2,5.4,5.95,17.6,van,central,22.8
DRV0190,771,267,4.42,0.83,1,5,89.1,4.1,5.72,16.9,van,central,22.8
DRV0157,773,255,4.42,0.85,1,5,89,5.1,5.79,17.6,van,central,22.8
DRV0195,730,260,4.38,0.9,1,5,89.2,5,5.59,16.5,van,central,22.8
DRV0130,762,259,4.37,0.95,1,5,89.2,6.2,5.71,17.2,van,central,22.7
DRV0122,753,270,4.44,0.88,1,5,88.5,3.3,5.65,17.6,van,central,22.7
DRV0119,772,276,4.36,0.87,1,5,88.8,4.7,5.96,17.2,van,central,22.7
DRV0019,734,282,4.38,0.86,1,5,89,4.3,5.7,17.8,van,central,22.7
DRV0066,748,251,4.39,0.87,1,5,88.4,4,5.59,17.5,van,central,22.6
DRV0075,775,248,4.39,0.94,1,5,88.3,6,5.59,18.1,van,central,22.6
DRV0178,731,241,4.43,0.87,1,5,88.4,5,5.57,19.1,van,central,22.6
DRV0023,800,268,4.4,0.92,1,5,88.4,6,5.58,18.1,van,central,22.6
DRV0017,724,265,4.32,0.98,1,5,88.3,6.8,6.06,17.7,van,central,22.5
DRV0179,806,299,4.31,0.92,1,5,88.3,6,5.67,16.9,van,central,22.5
DRV0006,752,274,4.35,0.87,1,5,88,4.4,5.64,17.3,van,central,22.5
DRV0182,692,231,4.39,0.91,1,5,87.9,5.2,5.52,17.7,van,central,22.5
DRV0026,772,284,4.35,0.98,1,5,87.7,7.7,5.9,16.6,van,central,22.4
DRV0083,750,246,4.38,0.89,1,5,87.4,5.3,5.76,18.6,van,central,22.4
DRV0054,752,250,4.35,0.95,1,5,87.6,6.8,5.75,18.2,van,central,22.4
DRV0021,763,284,4.36,0.95,1,5,87.7,5.6,5.75,16.8,van,central,22.4
DRV0123,764,236,4.39,0.98,1,5,87.7,7.2,5.7,17.9,van,central,22.4
