Driver ID,Total Deliveries,Deliveries with Feedback,Avg Rating,Service Consistency (Std Dev),Min Rating,Max Rating,Positive %,Negative %,Avg Distance (km),Avg Experience (months),Vehicle Type,Primary Depot,Performance Score
DRV0170,756,259,4.23,1.06,1,5,79.2,8.5,5.84,17.7,van,central,20.6
DRV0073,749,268,4.21,1.04,1,5,79.5,8.6,5.95,17.6,van,central,20.7
DRV0085,736,259,4.15,1.19,1,5,80.3,12,5.87,17.8,van,central,20.8
DRV0124,771,264,4.18,1.11,1,5,80.3,10.6,5.52,17.3,van,central,20.8
DRV0136,752,281,4.17,1.08,1,5,80.4,9.3,5.84,17.7,van,central,20.8
DRV0063,753,256,4.14,1.07,1,5,80.5,9.4,5.74,17.1,van,central,20.8
DRV0041,791,249,4.16,1.06,1,5,80.7,10,5.75,16.7,van,central,20.9
DRV0165,785,273,4.12,1.16,1,5,81,11.4,5.75,18,van,central,20.9
DRV0046,809,288,4.19,1.14,1,5,80.9,11.8,6,17.7,van,central,20.9
DRV0010,763,281,4.18,1.15,1,5,80.8,11.4,5.79,18.2,van,central,20.9
DRV0155,744,235,4.22,1.06,1,5,80.9,8.5,5.89,17.1,van,central,21
DRV0070,758,277,4.2,1.03,1,5,81.2,8.7,5.67,18.5,van,central,21
DRV0132,777,271,4.22,1.06,1,5,81.2,8.1,5.82,16.8,van,central,21
DRV0109,794,286,4.23,1,1,5,81.5,7.7,5.91,18.2,van,central,21.1
DRV0009,787,299,4.27,1.02,1,5,81.3,8,5.72,17.3,van,east,21.1
DRV0056,728,266,4.24,1.13,1,5,81.6,10.2,5.77,18.2,van,central,21.1
DRV0011,759,296,4.22,1.05,1,5,81.4,8.1,5.91,17.7,van,central,21.1
DRV0175,710,251,4.26,1,1,5,81.3,7.2,5.86,17.5,van,east,21.1
DRV0079,773,286,4.18,1.03,1,5,81.5,7.7,5.81,18.6,van,central,21.1
DRV0081,733,275,4.24,1.07,1,5,81.8,8.4,5.88,18.1,van,central,21.2
DRV0076,756,263,4.18,1.08,1,5,82.1,9.5,5.71,16.4,van,central,21.2
DRV0197,773,250,4.28,1.07,1,5,82,8.4,5.59,17,van,central,21.2
DRV0031,729,244,4.2,1.07,1,5,82,9,5.66,17.3,van,central,21.2
DRV0187,766,277,4.21,1.08,1,5,82.3,10.5,5.73,17.8,van,central,21.2
DRV0134,677,233,4.25,1.07,1,5,82,9,5.8,18.5,van,central,21.2
DRV0115,757,263,4.28,0.97,1,5,82.5,6.1,5.68,17.7,van,central,21.3
DRV0088,750,297,4.26,0.98,1,5,82.5,7.4,5.87,17.9,van,central,21.3
DRV0008,710,233,4.3,0.94,1,5,82,6,5.52,17.8,van,central,21.3
DRV0012,736,257,4.29,0.97,1,5,82.1,7,5.82,18.1,van,central,21.3
DRV0158,736,254,4.27,1.01,1,5,82.3,7.9,5.91,17.8,van,central,21.3
DRV0167,730,282,4.22,1.06,1,5,82.6,8.2,5.57,17.3,van,central,21.3
DRV0128,804,294,4.2,1.02,1,5,82.7,7.5,5.69,17,van,central,21.3
DRV0177,775,245,4.27,1.02,1,5,82.4,7.3,5.7,18.1,van,central,21.3
DRV0055,768,271,4.26,1.04,1,5,82.7,7.7,6.03,17,van,central,21.4
DRV0089,741,293,4.24,1.03,1,5,82.9,7.8,5.65,16.3,van,central,21.4
DRV0166,782,254,4.22,1.04,1,5,83.1,7.9,5.75,16.9,van,central,21.4
DRV0025,841,274,4.2,1.03,1,5,82.8,8.4,5.86,17.6,van,central,21.4
DRV0103,751,262,4.24,1.05,1,5,83.2,7.3,6.02,17.5,van,central,21.4
DRV0018,716,251,4.2,1,1,5,83.3,8,5.82,16.8,van,central,21.5
DRV0071,806,285,4.28,1.07,1,5,83.5,9.5,5.64,17.6,van,central,21.5
